Timestamp,Geschlecht,gender,Alter,age_group,Wie häufig lesen Sie Nachrichten von 20minuten?,20min frequency,Wie häufig lesen Sie Nachrichten vom Blick?,blick frequency,Wie häufig lesen Sie Nachrichten der NZZ?,NZZ frequenzy,Wie viele Stunden pro Tag schauen Sie TV?,tv frequency,"Wie viele Stunden pro Tag verbringen Sie auf Sozialen Medien? (Facebook, Instragam, Twitter, Snapchat)",social media frequency,Wie viele Stunden pro Tag lesen Sie Zeitung? (gedruckt oder online),press frequency,Welche Medien sind für Sie die wichtigsten Informationsquellen?,information sources,Wie häufig erkundigen Sie sich nach neuen Nachrichten aus der Welt?,Wie kommunizieren Sie im privaten Umfeld mit Anderen?,Ist Ihnen einer der Situationen auf Sozialen Medien schon passiert?,Wie oft teilen Sie eigene Inhalte mit anderen? (Soziale Medien)
2018/04/15 12:51:20 pm EET,männlich,male,26-30,3,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,1 Stunde,2,gar nicht,1,1 Stunde,2,Fernseher;Internet;Radio;Zeitung,,Alle 1-4 Stunden,Whatsapp;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,nie
2018/04/15 1:08:39 pm EET,männlich,male,26-30,3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/15 1:10:54 pm EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Oft (täglich),3,Selten (wöchentlich),2,2 Stunden,3,gar nicht,1,1 Stunde,2,Internet,,Alle 1-4 Stunden,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/15 1:15:29 pm EET,männlich,male,18 - 25,2,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,3 Stunden,4,1 Stunde,2,gar nicht,1,Fernseher;Internet,,seltener als täglich,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,seltener als wöchentlich
2018/04/16 11:23:09 am EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr oft (mehrmals pro Tag),4,gar nicht,1,1 Stunde,2,1 Stunde,2,Internet;Zeitung,,halbtägig,Whatsapp;Facebook;Instagram;Snapchat;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 11:23:33 am EET,männlich,male,18 - 25,2,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,gar nicht,1,1 Stunde,2,1 Stunde,2,Internet;Zeitung,,Alle 1-4 Stunden,Whatsapp;Facebook;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:23:43 am EET,männlich,male,<18,1,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,2 Stunden,3,4 Stunden,5,gar nicht,1,Fernseher;Internet,,seltener als täglich,Whatsapp;Instagram;Snapchat;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden beleidigt oder angegriffen;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,seltener als wöchentlich
2018/04/16 11:24:38 am EET,weiblich,female,>50,7,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,2 Stunden,3,gar nicht,1,1 Stunde,2,Internet;Zeitung,,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:24:45 am EET,männlich,male,18 - 25,2,Selten (wöchentlich),2,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,gar nicht,1,gar nicht,1,1 Stunde,2,Internet,,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:25:17 am EET,männlich,male,18 - 25,2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Selten (wöchentlich),2,8 Stunden,9,gar nicht,1,1 Stunde,2,Fernseher;Radio;Zeitung,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:19 am EET,männlich,male,18 - 25,2,Sehr oft (mehrmals pro Tag),4,Oft (täglich),3,Sehr selten (monatlich oder weniger),1,2 Stunden,3,1 Stunde,2,1 Stunde,2,Fernseher;Internet;Radio,,halbtägig,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,nie
2018/04/16 11:25:20 am EET,männlich,male,26-30,3,Sehr oft (mehrmals pro Tag),4,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Internet;Radio,,Alle 1-4 Stunden,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:22 am EET,weiblich,female,41-49,6,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,gar nicht,1,Radio,,seltener als täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:26:05 am EET,männlich,male,41-49,6,Selten (wöchentlich),2,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,1 Stunde,2,gar nicht,1,1 Stunde,2,Zeitung,,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:27:04 am EET,männlich,male,26-30,3,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,Sehr selten (monatlich oder weniger),1,4 Stunden,5,5 Stunden,6,gar nicht,1,Fernseher;Internet;Radio,,seltener als täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
