Timestamp,Geschlecht,Alter,Wie häufig lesen Sie Nachrichten von 20minuten?,Wie häufig lesen Sie Nachrichten vom Blick?,Wie häufig lesen Sie Nachrichten der NZZ?,Wie viele Stunden pro Tag schauen Sie TV?,"Wie viele Stunden pro Tag verbringen Sie auf Sozialen Medien? (Facebook, Instragam, Twitter, Snapchat)",Wie viele Stunden pro Tag lesen Sie Zeitung? (gedruckt oder online),Welche Medien sind für Sie die wichtigsten Informationsquellen?,Wie häufig erkundigen Sie sich nach neuen Nachrichten aus der Welt?,Wie kommunizieren Sie im privaten Umfeld mit Anderen?,Ist Ihnen einer der Situationen auf Sozialen Medien schon passiert?,Wie oft teilen Sie eigene Inhalte mit anderen? (Soziale Medien)
2018/04/15 12:51:20 pm EET,männlich,26-30,Oft (täglich),Sehr selten (monatlich oder weniger),Selten (wöchentlich),1 Stunde,gar nicht,1 Stunde,Fernseher;Internet;Radio;Zeitung,Alle 1-4 Stunden,Whatsapp;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden auf unangenehme/private Sachen angesprochen,nie
2018/04/15 1:08:39 pm EET,männlich,26-30,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,täglich
2018/04/15 1:10:54 pm EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Oft (täglich),Selten (wöchentlich),2 Stunden,gar nicht,1 Stunde,Internet,Alle 1-4 Stunden,Whatsapp,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/15 1:15:29 pm EET,männlich,18 - 25,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,1 Stunde,gar nicht,Fernseher;Internet,seltener als täglich,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht,seltener als wöchentlich
2018/04/16 11:23:09 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr oft (mehrmals pro Tag),gar nicht,1 Stunde,1 Stunde,Internet;Zeitung,halbtägig,Whatsapp;Facebook;Instagram;Snapchat;Email,Ihnen ist noch keine der Situationen wiederfahren,mehrmals die Woche
2018/04/16 11:23:33 am EET,männlich,18 - 25,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),gar nicht,1 Stunde,1 Stunde,Internet;Zeitung,Alle 1-4 Stunden,Whatsapp;Facebook;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:23:43 am EET,männlich,<18,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),2 Stunden,4 Stunden,gar nicht,Fernseher;Internet,seltener als täglich,Whatsapp;Instagram;Snapchat;SMS;Email,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Sie wurden beleidigt oder angegriffen;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,seltener als wöchentlich
2018/04/16 11:24:38 am EET,weiblich,>50,Oft (täglich),Sehr selten (monatlich oder weniger),Selten (wöchentlich),2 Stunden,gar nicht,1 Stunde,Internet;Zeitung,täglich,Whatsapp;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:24:45 am EET,männlich,18 - 25,Selten (wöchentlich),Oft (täglich),Sehr selten (monatlich oder weniger),gar nicht,gar nicht,1 Stunde,Internet,täglich,Whatsapp;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:25:17 am EET,männlich,18 - 25,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Selten (wöchentlich),8 Stunden,gar nicht,1 Stunde,Fernseher;Radio;Zeitung,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:19 am EET,männlich,18 - 25,Sehr oft (mehrmals pro Tag),Oft (täglich),Sehr selten (monatlich oder weniger),2 Stunden,1 Stunde,1 Stunde,Fernseher;Internet;Radio,halbtägig,Whatsapp,Fotos oder Videos wurden ohne Sie zu fragen veröffentlicht;Es wurden unwahre oder persöndliche Informationen von Ihnen veröffentlicht,nie
2018/04/16 11:25:20 am EET,männlich,26-30,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Internet;Radio,Alle 1-4 Stunden,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
2018/04/16 11:25:22 am EET,weiblich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,gar nicht,Radio,seltener als täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:26:05 am EET,männlich,41-49,Selten (wöchentlich),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),1 Stunde,gar nicht,1 Stunde,Zeitung,täglich,Whatsapp;SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:27:04 am EET,männlich,26-30,Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),4 Stunden,5 Stunden,gar nicht,Fernseher;Internet;Radio,seltener als täglich,Whatsapp;Facebook,Ihnen ist noch keine der Situationen wiederfahren,wöchentlich
2018/04/16 11:29:38 am EET,männlich,18 - 25,Sehr oft (mehrmals pro Tag),Sehr selten (monatlich oder weniger),Sehr selten (monatlich oder weniger),3 Stunden,4 Stunden,1 Stunde,Fernseher;Internet;Radio;Zeitung,halbtägig,Whatsapp;Instagram;Snapchat;SMS,Ihnen ist noch keine der Situationen wiederfahren,seltener als wöchentlich
2018/04/16 11:32:21 am EET,männlich,41-49,Oft (täglich),Oft (täglich),Sehr selten (monatlich oder weniger),2 Stunden,gar nicht,2 Stunden,Internet,Alle 1-4 Stunden,SMS;Email,Ihnen ist noch keine der Situationen wiederfahren,nie
